coverage_id,cm4di_id,cm4di_label,cm4di_type,domain_id,primary_domain,stereotype_or_semantic_type,definition_status,source_family,source_id,source_title,external_construct_id,external_construct_label,support_type,mapping_predicate,confidence,source_locator,conflict_or_gap,baseline_evidence_basis,cq_ids,coverage_status,notes
COV-0001,CM4DI-C0001,Party,Core,CM4DI-D0001,Identity Representation,roleMixin,documented,,,,,,,,,,GateB NC032; baseline; standards; IAM,CQ0002;CQ0005;CQ0022,source-support-needs-reverse-audit,Publication-grade support/conflict/no-correspondence closure under #140.
COV-0002,CM4DI-C0002,IdentitySubject,Core,CM4DI-D0001,Identity Representation,roleMixin,documented,,,,,,,,,,GateB NC001; ISO; government; nonhuman,CQ0001;CQ0002;CQ0003,source-support-needs-reverse-audit,Publication-grade support/conflict/no-correspondence closure under #140.
COV-0003,CM4DI-C0003,DigitalIdentity,Core,CM4DI-D0001,Identity Representation,kind,documented,,,,,,,,,,GateB NC002; baseline; academic; IAM,CQ0001;CQ0002;CQ0024,source-support-needs-reverse-audit,Publication-grade support/conflict/no-correspondence closure under #140.
COV-0004,CM4DI-C0004,Identifier,Core,CM4DI-D0001,Identity Representation,kind,documented,W3C DID Core;SPIFFE,CM4DI-MAP0024;CM4DI-MAP0034,,,,implements/related,medium,,,GateB NC003; ISO; DID; SPIFFE,CQ0004,mapped-support-present,Publication-grade support/conflict/no-correspondence closure under #140.
COV-0005,CM4DI-C0005,IdentityContext,Core,CM4DI-D0001,Identity Representation,situation,documented,,,,,,,,,,GateB NC004; baseline; academic,CQ0001;CQ0002;CQ0017,source-support-needs-reverse-audit,Publication-grade support/conflict/no-correspondence closure under #140.
COV-0006,CM4DI-C0006,IdentityAttribute,Core,CM4DI-D0002,Identity Information,kind,documented,,,,,,,,,,GateB NC009; baseline; government; IAM,CQ0005;CQ0006,source-support-needs-reverse-audit,Publication-grade support/conflict/no-correspondence closure under #140.
COV-0007,CM4DI-C0007,Claim,Core,CM4DI-D0002,Identity Information,kind,documented,,,,,,,,,,GateB NC008; OIDC; VC; NIST; academic,CQ0005;CQ0006,source-support-needs-reverse-audit,Publication-grade support/conflict/no-correspondence closure under #140.
COV-0008,CM4DI-C0008,Evidence,Core,CM4DI-D0003,Identity Evidence,roleMixin,documented,,,,,,,,,,GateB NC005/007; NIST; nonhuman; academic,CQ0006;CQ0007;CQ0010;CQ0012,source-support-needs-reverse-audit,Publication-grade support/conflict/no-correspondence closure under #140.
COV-0009,CM4DI-C0009,Proof,Core,CM4DI-D0003,Identity Evidence,roleMixin,documented,,,,,,,,,,GateB NC007; VC Data Integrity; WebAuthn; academic,CQ0007,source-support-needs-reverse-audit,Publication-grade support/conflict/no-correspondence closure under #140.
COV-0010,CM4DI-C0010,IdentityBinding,Core,CM4DI-D0003,Identity Evidence,relator,documented,,,,,,,,,,GateB NC011; government; attestation; standards,CQ0011;CQ0012,source-support-needs-reverse-audit,Publication-grade support/conflict/no-correspondence closure under #140.
COV-0011,CM4DI-C0011,Credential,Core,CM4DI-D0005,Credential Management,kind,documented,W3C VC 2.0;ISO mdoc,CM4DI-MAP0019;CM4DI-MAP0031,,,,implements/related,medium,,,GateB NC012; NIST; W3C VC; ISO; SPIFFE,CQ0008;CQ0009,mapped-support-present,Publication-grade support/conflict/no-correspondence closure under #140.
COV-0012,CM4DI-C0012,CredentialStatus,Core,CM4DI-D0005,Credential Management,mode,documented,,,,,,,,,,GateB NC013; VC status; academic,CQ0008;CQ0009,source-support-needs-reverse-audit,Publication-grade support/conflict/no-correspondence closure under #140.
COV-0013,CM4DI-C0013,CredentialLifecycleEvent,Core,CM4DI-D0005,Credential Management,event,documented,,,,,,,,,,GateB NC015; academic; machine rotation,CQ0009,source-support-needs-reverse-audit,Publication-grade support/conflict/no-correspondence closure under #140.
COV-0014,CM4DI-C0014,CredentialIssuance,Core,CM4DI-D0005,Credential Management,event,documented,OpenID4VCI,CM4DI-MAP0027,,,,implements/related,medium,,,GateB NC014; W3C; OpenID4VCI; ISO,CQ0008;CQ0009,mapped-support-present,Publication-grade support/conflict/no-correspondence closure under #140.
COV-0015,CM4DI-C0015,IdentityProofing,Core,CM4DI-D0004,Identity Establishment,event,documented,,,,,,,,,,GateB NC006; NIST 800-63A; government,CQ0010,source-support-needs-reverse-audit,Publication-grade support/conflict/no-correspondence closure under #140.
COV-0016,CM4DI-C0016,Enrollment,Core,CM4DI-D0004,Identity Establishment,event,documented,,,,,,,,,,baseline; NIST; GateB boundary,CQ0011,source-support-needs-reverse-audit,Publication-grade support/conflict/no-correspondence closure under #140.
COV-0017,CM4DI-C0017,Authentication,Core,CM4DI-D0006,Authentication,event,documented,,,,,,,,,,GateB NC016; NIST; IAM; datasets,CQ0013;CQ0025,source-support-needs-reverse-audit,Publication-grade support/conflict/no-correspondence closure under #140.
COV-0018,CM4DI-C0018,Authenticator,Core,CM4DI-D0006,Authentication,roleMixin,documented,,,,,,,,,,baseline; NIST; WebAuthn; device evidence,CQ0013;CQ0014;CQ0028,source-support-needs-reverse-audit,Publication-grade support/conflict/no-correspondence closure under #140.
COV-0019,CM4DI-C0019,AuthenticationResult,Core,CM4DI-D0006,Authentication,kind,documented,,,,,,,,,,GateB NC017; baseline; RBA/LANL,CQ0013;CQ0025,source-support-needs-reverse-audit,Publication-grade support/conflict/no-correspondence closure under #140.
COV-0020,CM4DI-C0020,AssuranceAssessment,Core,CM4DI-D0003,Identity Evidence,kind,documented,NIST SP 800-63A-4;NIST SP 800-63B-4;NIST SP 800-63C-4;UK Government,CM4DI-MAP0052;CM4DI-MAP0053;CM4DI-MAP0054;CM4DI-MAP0061,,,,implements/related,medium,,,GateB NC028; NIST; ISO 29115; government,CQ0010;CQ0015,mapped-support-present,Publication-grade support/conflict/no-correspondence closure under #140.
COV-0021,CM4DI-C0021,Authorization,Core,CM4DI-D0007,Authorization,event,documented,,,,,,,,,,GateB NC018; ISO 29146; AuthZEN; IAM,CQ0016;CQ0018,source-support-needs-reverse-audit,Publication-grade support/conflict/no-correspondence closure under #140.
COV-0022,CM4DI-C0022,AuthorizationRequest,Core,CM4DI-D0007,Authorization,kind,documented,,,,,,,,,,GateB NC021; XACML; AuthZEN,CQ0016;CQ0018,source-support-needs-reverse-audit,Publication-grade support/conflict/no-correspondence closure under #140.
